
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		100,		50	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		50	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		50	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		50	// Sellvalue -1 means it can not be selled
        MVS_Compact_1_Multicam,                                                                         *,      100,    50		
        MVS_Compact_1_Multicam_Tropic,                                                                  *,      100,    50		
        MVS_Compact_1_Multicam_Black,                                                                   *,      100,    50		
		
        MVS_Compact_2_OD,                                                                         		*,      100,    50
        MVS_Compact_2_Tan,                                                                              *,      100,    50
        MVS_Compact_2_Black,                                                                         	*,      100,    50
        //MVS_Compact_2_Snow,                                                                             *,      100,    50		
        MVS_Compact_2_ERDL,                                                                             *,      100,    50		
        MVS_Compact_2_Multicam,                                                                         *,      100,    50		
        MVS_Compact_2_Multicam_Tropic,                                                                  *,      100,    50		
        MVS_Compact_2_Multicam_Black,                                                                   *,      100,    50	

        //new 12.16.20        
		MVS_SlingPack_OD,                                                                            *,      100,    50
        MVS_SlingPack_Tan,                                                                           *,      100,    50
        MVS_SlingPack_Black,                                                                         *,      100,    50
        MVS_SlingPack_Multicam,                                                                      *,      100,    50
        MVS_SlingPack_Multicam_Black,                                                                *,      100,    50		
        MVS_SlingPack_Multicam_Tropic,                                                               *,      100,    50		
        MVS_SlingPack_ERDL,                                                               			 *,      100,    50		
        //MVS_SlingPack_Snow,                                                                			 *,      100,    50		
		
		MVS_Pakol_brown,                                                                            	*,      100,    50		
		MVS_Pakol_Comtac,                                                                            	*,      100,    50
		
        MVS_Cap_OD,                                                                           			*,      100,    50
        MVS_Cap_Tan,                                                                           			*,      100,    50
        MVS_Cap_Black,                                                                           		*,      100,    50
        //MVS_Cap_Snow,                                                                           		*,      100,    50
        MVS_Cap_ERDL,                                                                           		*,      100,    50
        MVS_Cap_Multicam,                                                                           	*,      100,    50		
        MVS_Cap_Multicam_Tropic,                                                                    	*,      100,    50		
        MVS_Cap_Multicam_Black,                                                                     	*,      100,    50

        MVS_FlatCap,                                                                           			*,      100,    50
        //MVS_FlatCap_Snow,                                                                           	*,      100,    50
        MVS_FlatCap_Multicam,                                                                           *,      100,    50		
        MVS_FlatCap_Multicam_Tropic,                                                                    *,      100,    50		
        MVS_FlatCap_Multicam_Black,                                                                     *,      100,    50		
		
        MVS_BoonieHat,                                                                                  *,      100,    50
        //MVS_BoonieHat_Snow,                                                                             *,      100,    50
        MVS_BoonieHat_Multicam,                                                                         *,      100,    50
        MVS_BoonieHat_Multicam_Tropic,                                                                  *,      100,    50
        MVS_BoonieHat_Multicam_Black,                                                                   *,      100,    50
		
        MVS_Helmet_01_Tan,                                                                              *,      100,    50
        MVS_Helmet_01_Tan_Worn,                                                                         *,      100,    50
        MVS_Helmet_01_OD,                                                                               *,      100,    50
        MVS_Helmet_01_Black,                                                                            *,      100,    50
        //MVS_Helmet_01_Snow,                                                                             *,      100,    50
        MVS_Helmet_01_ERDL,                                                                             *,      100,    50
        MVS_Helmet_01_Multicam,                                                                         *,      100,    50
        MVS_Helmet_01_Multicam_Tropic,                                                                  *,      100,    50		
        MVS_Helmet_01_Multicam_Black,                                                                   *,      100,    50

        //new 12.16.20
		MVS_Helmet_02_Tan,                                                                              *,      100,    50
        MVS_Helmet_02_OD,                                                                               *,      100,    50
        MVS_Helmet_02_Black,                                                                            *,      100,    50
        //MVS_Helmet_02_Snow,                                                                             *,      100,    50
        MVS_Helmet_02_ERDL,                                                                             *,      100,    50
        MVS_Helmet_02_Multicam,                                                                         *,      100,    50
        MVS_Helmet_02_Multicam_Tropic,                                                                  *,      100,    50		
        MVS_Helmet_02_Multicam_Black,                                                                   *,      100,    50		

        MVS_OpsCore_Tan,                                                                                *,      100,    50
        MVS_OpsCore_OD,                                                                                 *,      100,    50
        MVS_OpsCore_Black,                                                                              *,      100,    50
        //MVS_OpsCore_Snow,                                                                               *,      100,    50
		MVS_OpsCore_ERDL,                                                                        	    *,      100,    50		
		MVS_OpsCore_Multicam,                                                                        	*,      100,    50
		MVS_OpsCore_Multicam_Tropic,                                                                    *,      100,    50		
		MVS_OpsCore_Multicam_Black,                                                                     *,      100,    50

        MVS_ArmoredHelmet_Tan,                                                                       	*,      500,    250
        MVS_ArmoredHelmet_OD,                                                                           *,      500,    250
        MVS_ArmoredHelmet_Black,                                                                        *,      500,    250
        //MVS_ArmoredHelmet_Snow,                                                                         *,      500,    250
        MVS_ArmoredHelmet_ERDL,                                                                         *,      500,    250
        MVS_ArmoredHelmet_Multicam,                                                                     *,      500,    250
        MVS_ArmoredHelmet_Multicam_Tropic,                                                              *,      500,    250
        MVS_ArmoredHelmet_Multicam_Black,                                                               *,      500,    250
		
		//new 6.17.20
        MVS_Altyn_OD,                                                                       			*,      500,    250
        MVS_Altyn_Tan,                                                                           		*,      500,    250
        MVS_Altyn_Black,                                                                        		*,      500,    250
		
		//new 7.23.20
        MVS_6B47_Helmet_OD,                                                                       		*,      100,    50
        MVS_6B47_Helmet_Tan,                                                                           	*,      100,    50
        MVS_6B47_Helmet_Black,                                                                        	*,      100,    50
		
		//new 6.17.20
        MVS_Altyn_Visor_OD,                                                                       		*,      100,    50
        MVS_Altyn_Visor_Tan,                                                                            *,      100,    50
        MVS_Altyn_Visor_Black,                                                                        	*,      100,    50
		
        MVS_WarriorHelmet_Tan,                                                                          *,      1000,    500
        MVS_WarriorHelmet_OD,                                                                       	*,      1000,    500
        MVS_WarriorHelmet_Black,                                                                        *,      1000,    500
        //MVS_WarriorHelmet_Snow,                                                                         *,      1000,    500
        MVS_WarriorHelmet_ERDL,                                                                         *,      1000,    500
        MVS_WarriorHelmet_Multicam,                                                                     *,      1000,    500		
        MVS_WarriorHelmet_Multicam_Tropic,                                                              *,      1000,    500		
        MVS_WarriorHelmet_Multicam_Black,                                                               *,      1000,    500		
		
        MVS_GorkaPants,                                                                           		*,      100,    50
        //MVS_GorkaPants_Snow,                                                                           	*,      100,    50	
        MVS_GorkaPants_Multicam,                                                                        *,      100,    50	
        MVS_GorkaPants_Multicam_Tropic,                                                                 *,      100,    50	
        MVS_GorkaPants_Multicam_Black,                                                                  *,      100,    50		
		
        MVS_GorkaJacket,                                                                       		    *,      100,    50
        //MVS_GorkaJacket_Snow,                                                                       	*,      100,    50
        MVS_GorkaJacket_Multicam,                                                                       *,      100,    50
        MVS_GorkaJacket_Multicam_Tropic,                                                                *,      100,    50
        MVS_GorkaJacket_Multicam_Black,                                                                 *,      100,    50

		//I am not making more retextures for the BDU pants because of new combat pants model
		MVS_Pants_BDU,                                                                         			*,      100,    50
		//MVS_Pants_BDU_Snow,                                                                         	*,      100,    50

		MVS_CombatPants_OD,                                                                         	*,      100,    50
		MVS_CombatPants_Tan,                                                                         	*,      100,    50
		MVS_CombatPants_Black,                                                                         	*,      100,    50
		//MVS_CombatPants_Snow,                                                                         	*,      100,    50
		MVS_CombatPants_ERDL,                                                                         	*,      100,    50
		MVS_CombatPants_Multicam,                                                                       *,      100,    50
		MVS_CombatPants_Multicam_Tropic,                                                                *,      100,    50
		MVS_CombatPants_Multicam_Black,                                                                 *,      100,    50
		
		MVS_Shirt_BDU,                                                                         			*,      100,    50
		//MVS_Shirt_BDU_Snow,                                                                         	*,      100,    50		
		MVS_Shirt_BDU_Multicam,                                                                         *,      100,    50
		MVS_Shirt_BDU_Multicam_Tropic,                                                                  *,      100,    50		
		MVS_Shirt_BDU_Multicam_Black,                                                                   *,      100,    50

		MVS_CombatShirt_OD,                                                                         	*,      100,    50
		MVS_CombatShirt_Tan,                                                                         	*,      100,    50
		MVS_CombatShirt_Black,                                                                         	*,      100,    50
		//MVS_CombatShirt_Snow,                                                                         	*,      100,    50
		MVS_CombatShirt_ERDL,                                                                         	*,      100,    50
		MVS_CombatShirt_Multicam,                                                                       *,      100,    50
		MVS_CombatShirt_Multicam_Tropic,                                                                *,      100,    50
		MVS_CombatShirt_Multicam_Black,                                                                 *,      100,    50

 		MVS_S10Respirator_OD,                                                                           *,      100,    50       
		MVS_S10Respirator_Tan,                                                                          *,      100,    50		
		MVS_S10Respirator_Black,                                                                        *,      100,    50
        MVS_S10Respirator_FS,                                                                           *,      100,    50
 		//MVS_S10Respirator_Snow,                                                                         *,      100,    50
		
 		MVS_M50Respirator_OD,                                                                           *,      100,    50       
		MVS_M50Respirator_Tan,                                                                          *,      100,    50		
		MVS_M50Respirator_Black,                                                                        *,      100,    50
        //MVS_M50Respirator_Snow,                                                                         *,      100,    50
		
		//new 7.23.20
        MVS_PMK2Respirator_Black,                                                                       *,      100,    50
        MVS_PMK2Respirator_Tan,                                                                         *,      100,    50
        MVS_PMK2Respirator_OD,                                                                        	*,      100,    50
        //MVS_PMK2Respirator_Snow,                                                                        *,      100,    50
		
        MVS_Shroud_OD,                                                                         			*,      100,    50
        MVS_Shroud_Tan,                                                                         		*,      100,    50
        MVS_Shroud_Black,                                                                               *,      100,    50

        MVS_Balaclava_Wraith,                                                                           *,      100,    50
        MVS_Balaclava_Wraith_Comtacs,                                                                   *,      100,    50 
        MVS_Balaclava_OD,                                                                           	*,      100,    50
        MVS_Balaclava_Tan,                                                                           	*,      100,    50
        MVS_Balaclava_Black,                                                                           	*,      100,    50
		
        MVS_Facemask_OD,                                                                          		 *,      100,    50
        MVS_Facemask_Tan,                                                                  				 *,      100,    50 
        MVS_Facemask_Black,                                                                           	*,      100,    50
        //MVS_Facemask_Snow,                                                                           	*,      100,    50
		
        MVS_Comtacs_OD,                                                                           		*,      100,    50
        MVS_Comtacs_Tan,                                                                           		*,      100,    50
        MVS_Comtacs_Black,                                                                           	*,      100,    50
		
        MVS_Beard_01_Brown,                                                                             *,      100,    50
        MVS_Beard_01_LightBrown,                                                                        *,      100,    50
        MVS_Beard_01_Black,                                                                         	*,      100,    50
        MVS_Beard_01_Blonde,                                                                  			*,      100,    50
        MVS_Beard_01_White,                                                                  			*,      100,    50
        MVS_Beard_02_Brown,                                                                             *,      100,    50
        MVS_Beard_02_LightBrown,                                                                        *,      100,    50
        MVS_Beard_02_Black,                                                                         	*,      100,    50
        MVS_Beard_02_Blonde,                                                                  			*,      100,    50
        MVS_Beard_02_White,                                                                  			*,      100,    50
        MVS_Beard_03_Brown,                                                                             *,      100,    50
        MVS_Beard_03_LightBrown,                                                                        *,      100,    50
        MVS_Beard_03_Black,                                                                         	*,      100,    50
        MVS_Beard_03_Blonde,                                                                  			*,      100,    50
        MVS_Beard_03_White,                                                                  			*,      100,    50
		
        MVS_Patch_01,                                                                                 	*,      50,     25
		MVS_Patch_02,                                                                                 	*,      50,     25
		MVS_Patch_03,                                                                                 	*,      50,     25
		MVS_Patch_04,                                                                                 	*,      50,     25
		MVS_Patch_05,                                                                                 	*,      50,     25
		MVS_Patch_06,                                                                                 	*,      50,     25
		MVS_Patch_07,                                                                                 	*,      50,     25
		MVS_Patch_08,                                                                                 	*,      50,     25
		MVS_Patch_09,                                                                                 	*,      50,     25
		MVS_Patch_10,                                                                                 	*,      50,     25
		MVS_Patch_11,                                                                                 	*,      50,     25
		MVS_Patch_12,                                                                                 	*,      50,     25
		MVS_Patch_13,                                                                                 	*,      50,     25
		MVS_Patch_14,                                                                                 	*,      50,     25
		MVS_Patch_15,                                                                                 	*,      50,     25
		MVS_Patch_16,                                                                                 	*,      50,     25
		MVS_Patch_17,                                                                                 	*,      50,     25
		MVS_Patch_18,                                                                                 	*,      50,     25
		MVS_Patch_19,                                                                                 	*,      50,     25
		MVS_Patch_20,                                                                                 	*,      50,     25
		MVS_Patch_21,                                                                                 	*,      50,     25
		MVS_Patch_22,                                                                                 	*,      50,     25
		MVS_Patch_23,                                                                                 	*,      50,     25
		MVS_Patch_24,                                                                                 	*,      50,     25
		MVS_Patch_25,                                                                                 	*,      50,     25
		MVS_Patch_26,                                                                                 	*,      50,     25
		MVS_Patch_27,                                                                                 	*,      50,     25
		MVS_Patch_28,                                                                                 	*,      50,     25
		MVS_Patch_29,                                                                                 	*,      50,     25
		MVS_Patch_30,                                                                                 	*,      50,     25
		MVS_Patch_31,                                                                                 	*,      50,     25
		MVS_Patch_32,                                                                                 	*,      50,     25
		MVS_Patch_33,                                                                                 	*,      50,     25		
		MVS_Patch_34,                                                                                 	*,      50,     25
		MVS_Patch_35,                                                                                 	*,      50,     25
		MVS_Patch_36,                                                                                 	*,      50,     25  
						
	<Category> Jackets & Coats
		LabCoat,				*,		10,		2
		TrackSuitJacket_Red,	*,		15,		3
		TrackSuitJacket_LightBlue,*,	15,		3
		TrackSuitJacket_Blue,	*,		15,		3
		TrackSuitJacket_Black,	*,		15,		3
		TrackSuitJacket_Green,	*,		15,		3
		DenimJacket,			*,		18,		4
		ManSuit_Blue,			*,		18,		4
		ManSuit_White,			*,		18,		4
		ManSuit_LightGrey,		*,		18,		4
		ManSuit_DarkGrey,		*,		18,		4
		ManSuit_Beige,			*,		18,		4
		ManSuit_Brown,			*,		18,		4
		ManSuit_Black,			*,		18,		4
		ManSuit_Khaki,			*,		18,		4
		WomanSuit_Blue,			*,		18,		4
		WomanSuit_White,		*,		18,		4
		WomanSuit_LightGrey,	*,		18,		4
		WomanSuit_DarkGrey,		*,		18,		4
		WomanSuit_Beige,		*,		18,		4
		WomanSuit_Brown,		*,		18,		4
		WomanSuit_Black,		*,		18,		4
		WomanSuit_Khaki,		*,		18,		4
		WoolCoat_Red,			*,		18,		4
		WoolCoat_RedCheck,		*,		18,		4
		WoolCoat_Blue,			*,		18,		4
		WoolCoat_BlueCheck,		*,		18,		4
		WoolCoat_GreyCheck,		*,		18,		4
		WoolCoat_BrownCheck,	*,		18,		4
		WoolCoat_Beige,			*,		18,		4
		WoolCoat_Black,			*,		19,		4
		WoolCoat_BlackCheck,	*,		19,		4
		WoolCoat_Green,			*,		20,		5
		RidersJacket_Black,		*,		20,		5
		FirefighterJacket_Beige,*,		24,		6
		FirefighterJacket_Black,*,		24,		6
		JumpsuitJacket_Red,		*,		26,		6
		JumpsuitJacket_Blue,	*,		26,		6
		JumpsuitJacket_Gray,	*,		26,		6
		JumpsuitJacket_Green,	*,		26,		6
		BomberJacket_Maroon,	*,		26,		6
		BomberJacket_SkyBlue,	*,		26,		6
		BomberJacket_Blue,		*,		26,		6
		BomberJacket_Grey,		*,		26,		6
		BomberJacket_Brown,		*,		26,		6
		BomberJacket_Black,		*,		28,		7
		BomberJacket_Olive,		*,		30,		7
		QuiltedJacket_Orange,	*,		26,		6
		QuiltedJacket_Yellow,	*,		26,		6
		QuiltedJacket_Red,		*,		26,		6
		QuiltedJacket_Violet,	*,		26,		6
		QuiltedJacket_Blue,		*,		26,		6
		QuiltedJacket_Grey,		*,		26,		6
		QuiltedJacket_Black,	*,		28,		7
		QuiltedJacket_Green,	*,		30,		7
		PrisonUniformJacket,	*,		28,		7
		PoliceJacketOrel,		*,		32,		8
		PoliceJacket,			*,		34,		8
		ParamedicJacket_Crimson,*,		36,		9
		ParamedicJacket_Blue,	*,		36,		9
		ParamedicJacket_Green,	*,		36,		9
		HikingJacket_Red,		*,		36,		9
		HikingJacket_Blue,		*,		38,		9
		HikingJacket_Black,		*,		38,		9
		HikingJacket_Green,		*,		40,		10
		Raincoat_Pink,			*,		70,		15
		Raincoat_Orange,		*,		70,		15
		Raincoat_Yellow,		*,		70,		15
		Raincoat_Red,			*,		70,		15
		Raincoat_Blue,			*,		70,		15
		Raincoat_Black,			*,		80,		20
		Raincoat_Green,			*,		100,	25
		TTsKOJacket_Camo,		*,		100,	25
		BDUJacket,				*,		100,	25
		//HuntingJacket_Winter,	*,		120,	35
		HuntingJacket_Brown,	*,		120,	35
		HuntingJacket_Autumn,	*,		120,	35
		HuntingJacket_Spring,	*,		120,	35
		HuntingJacket_Summer,	*,		120,	35
		M65Jacket_Tan,			*,		130,	40
		M65Jacket_Black,		*,		130,	40
		M65Jacket_Khaki,		*,		130,	40
		M65Jacket_Olive,		*,		130,	40
		GorkaEJacket_Autumn,	*,		140,	45
		GorkaEJacket_Flat,		*,		140,	45
		GorkaEJacket_PautRev,	*,		140,	45
		GorkaEJacket_Summer,	*,		140,	45
		USMCJacket_Desert,		*,		140,	45
		USMCJacket_Woodland,	*,		155,	55
		NBCJacketGray,			*,		250,	80

	<Category> Skirts & Dresses
		Skirt_Yellow,			*,		30,		10
		Skirt_Red,				*,		30,		10
		Skirt_Blue,				*,		30,		10
		Skirt_White,			*,		30,		10
		MiniDress_Pink,			*,		35,		10
		MiniDress_PinkChecker,	*,		35,		10
		MiniDress_RedChecker,	*,		35,		10
		MiniDress_BlueChecker,	*,		35,		10
		MiniDress_BlueWithDots,	*,		35,		10
		MiniDress_WhiteChecker,	*,		35,		10
		MiniDress_BrownChecker,	*,		35,		10
		MiniDress_GreenChecker,	*,		35,		10
		NurseDress_Blue,		*,		40,		10
		NurseDress_White,		*,		40,		10

	<Category> Pants
		MedicalScrubsPants_Blue,*,		10,		2
		MedicalScrubsPants_White,*,		10,		2
		MedicalScrubsPants_Green,*,		10,		2
		TrackSuitPants_Red,		*,		15,		3
		TrackSuitPants_LightBlue,*,		15,		3
		TrackSuitPants_Blue,	*,		15,		3
		TrackSuitPants_Black,	*,		15,		3
		TrackSuitPants_Green,	*,		15,		3
		PrisonUniformPants,		*,		17,		4
		Breeches_Pink,			*,		20,		5
		Breeches_Red,			*,		20,		5
		Breeches_Blue,			*,		20,		5
		Breeches_White,			*,		20,		5
		Breeches_Beetcheck,		*,		20,		5
		Breeches_Beige,			*,		21,		5
		Breeches_Browncheck,	*,		21,		5
		Breeches_Black,			*,		22,		5
		Breeches_Blackcheck,	*,		22,		5
		Breeches_Green,			*,		24,		6
		SlacksPants_Blue,		*,		20,		5
		SlacksPants_White,		*,		20,		5
		SlacksPants_LightGrey,	*,		20,		5
		SlacksPants_DarkGrey,	*,		20,		5
		SlacksPants_Beige,		*,		20,		5
		SlacksPants_Brown,		*,		21,		5
		SlacksPants_Black,		*,		22,		5
		SlacksPants_Khaki,		*,		24,		6
		CanvasPantsMidi_Red,	*,		24,		6
		CanvasPantsMidi_Violet,	*,		24,		6
		CanvasPantsMidi_Blue,	*,		24,		6
		CanvasPantsMidi_Grey,	*,		24,		6
		CanvasPantsMidi_Beige,	*,		25,		6	
		CanvasPants_Red,		*,		26,		6
		CanvasPants_Violet,		*,		26,		6
		CanvasPants_Blue,		*,		26,		6
		CanvasPants_Grey,		*,		26,		6
		CanvasPants_Beige,		*,		28,		6
		JumpsuitPants_Red,		*,		28,		6
		JumpsuitPants_Blue,		*,		28,		6
		JumpsuitPants_Grey,		*,		28,		6
		JumpsuitPants_Green,	*,		28,		6
		PolicePants,			*,		28,		6
		ParamedicPants_Crimson,	*,		35,		8
		ParamedicPants_Blue,	*,		35,		8
		ParamedicPants_Green,	*,		35,		8
		FirefightersPants_Beige,*,		35,		8
		FirefightersPants_Black,*,		35,		8
		CargoPants_Blue,		*,		35,		8
		CargoPants_Grey,		*,		35,		8
		CargoPants_Beige,		*,		35,		8
		CargoPants_Black,		*,		35,		8
		CargoPants_Green,		*,		35,		8
		ShortJeans_Red,			*,		38,		8
		ShortJeans_Blue,		*,		38,		8
		ShortJeans_Darkblue,	*,		38,		8
		ShortJeans_Brown,		*,		38,		8
		ShortJeans_Black,		*,		40,		10
		ShortJeans_Green,		*,		42,		10
		Jeans_Blue,				*,		40,		10
		Jeans_BlueDark,			*,		40,		10
		Jeans_Grey,				*,		40,		10
		Jeans_Brown,			*,		40,		10
		Jeans_Black,			*,		42,		10
		Jeans_Green,			*,		45,		12	
		TTSKOPants,				*,		55,		15
		BDUPants,				*,		65,		18
		USMCPants_Desert,		*,		65,		18
		USMCPants_Woodland,		*,		70,		20
		PolicePantsOrel,		*,		70,		20
		//HunterPants_Winter,		*,		90,		25
		HunterPants_Brown,		*,		100,	30
		HunterPants_Spring,		*,		100,	30
		HunterPants_Autumn,		*,		100,	30
		HunterPants_Summer,		*,		100,	30
		GorkaPants_Flat,		*,		130,	40
		GorkaPants_PautRev,		*,		130,	40
		GorkaPants_Autumn,		*,		130,	40
		GorkaPants_Summer,		*,		130,	40
		NBCPantsGray,			*,		200,	65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		17,		4
		AthleticShoes_Grey,		*,		20,		5
		AthleticShoes_Brown,	*,		20,		5
		AthleticShoes_Black,	*,		23,		5
		AthleticShoes_Green,	*,		23,		5
		JoggingShoes_Violet,	*,		30,		7
		JoggingShoes_Red,		*,		30,		7
		JoggingShoes_Blue,		*,		30,		7
		JoggingShoes_White,		*,		30,		7
		JoggingShoes_Black,		*,		30,		7
		Sneakers_Red,			*,		30,		7
		Sneakers_White,			*,		30,		7
		Sneakers_Gray,			*,		30,		7
		Sneakers_Black,			*,		31,		7
		Sneakers_Green,			*,		32,		7
		DressShoes_White,		*,		32,		7
		DressShoes_Brown,		*,		35,		8
		DressShoes_Black,		*,		35,		8
		DressShoes_Beige,		*,		35,		8
		DressShoes_Sunburst,	*,		35,		8
		HikingBootsLow_Blue,	*,		45,		12
		HikingBootsLow_Grey,	*,		45,		12
		HikingBootsLow_Beige,	*,		48,		13
		HikingBootsLow_Black,	*,		50,		14
		WorkingBoots_Yellow,	*,		55,		12
		WorkingBoots_Grey,		*,		60,		15
		WorkingBoots_Beige,		*,		60,		15
		WorkingBoots_Brown,		*,		60,		15
		WorkingBoots_Green,		*,		65,		17
		HikingBoots_Brown,		*,		75,		20
		HikingBoots_Black,		*,		75,		20
		CombatBoots_Grey,		*,		80,		22
		CombatBoots_Beige,		*,		80,		22
		CombatBoots_Brown,		*,		80,		22
		CombatBoots_Black,		*,		80,		22
		CombatBoots_Green,		*,		80,		22
		JungleBoots_Beige,		*,		85,		24
		JungleBoots_Brown,		*,		85,		24
		JungleBoots_Black,		*,		85,		24
		JungleBoots_Olive,		*,		85,		24
		JungleBoots_Green,		*,		85,		24
		Wellies_Grey,			*,		85,		25
		Wellies_Brown,			*,		85,		25
		Wellies_Black,			*,		85,		25
		Wellies_Green,			*,		90,		28
		TTSKOBoots,				*,		100,	35
		MilitaryBoots_Redpunk,	*,		100,	35
		MilitaryBoots_Bluerock,	*,		105,	35
		MilitaryBoots_Beige,	*,		110,	35
		MilitaryBoots_Brown,	*,		110,	35
		MilitaryBoots_Black,	*,		110,	35
		NBCBootsGray,			*,		150,	50

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		4000,	-1
		GhillieAtt_Tan,			*,		4000,	-1
		GhillieAtt_Woodland,	*,		4000,	-1
		GhillieHood_Mossy,		*,		4000,	-1
		GhillieHood_Tan,		*,		4000,	-1
		GhillieHood_Woodland,	*,		4000,	-1
		GhillieBushrag_Mossy,	*,		4000,	-1
		GhillieBushrag_Tan,		*,		4000,	-1
		GhillieBushrag_Woodland,*,		4000,	-1
		GhillieTop_Mossy,		*,		4000,	-1
		GhillieTop_Tan,			*,		4000,	-1
		GhillieTop_Woodland,	*,		4000,	-1
		GhillieSuit_Mossy,		*,		8000,	-1
		GhillieSuit_Tan,		*,		8000,	-1
		GhillieSuit_Woodland,	*,		8000,	-1

				<Category> Mass Ghillie
			!!!!YOU CAN WEAR THESE WITH A BAG!!!!,		*,		-1,	-1				
			MassGhillieSuitWoodland,		*,		10000,	-1	
			MassGhillieSuitMossy,			*,		10000,	-1	
			//MassGhillieSuitSnow,			*,		10000,	-1	
			MassGhillieTopWoodland,			*,		6000,	-1	
			MassGhillieTopMossy,			*,		6000,	-1	
			//MassGhillieTopSnow,				*,		6000,	-1	
			MassGhillieHood_Woodland,		*,		6000,	-1	
			//MassGhillieHood_Snowy,			*,		6000,	-1	
			MassGhillieHoodMossy,			*,		6000,	-1		
			//MassWinterGhillieWrap,			*,		4000,	-1
		
	<Category> Holster & Pouches
		ChestHolster,						*,		60,		20
		PlateCarrierHolster,				*,		60,		20
		PlateCarrierPouches,				*,		100,	20
		NylonKnifeSheath,					*,		100,	20
		MassPlateCarrierHolster_Black,		*,		1000,	5	
		MassPlateCarrierHolster_PartizanM,	*,		1000,	5	
		//MassPlateCarrierHolster_Winter,	*,		1000,	5	
		MassPlateCarrierHolster_ODG,		*,		1000,	5	
		MassPlateCarrierPouches_Black,		*,		1000,	5	
		MassPlateCarrierPouches_PartizanM,	*,		1000,	5	
		//MassPlateCarrierPouches_Winter,	*,		1000,	5	
		MassPlateCarrierPouches_ODG,		*,		1000,	5			
		
	<Category> Belt
		CivilianBelt,			*,		100,	30
		MilitaryBelt,			*,		100,	30
		
	<Category> Bags
		ChildBag_Red,			*,		20,		5
		ChildBag_Blue,			*,		20,		5
		ChildBag_Green,			*,		25,		6
		DryBag_Yellow,			*,		30,		8
		DryBag_Orange,			*,		30,		8
		DryBag_Red,				*,		30,		8
		DryBag_Blue,			*,		30,		8
		DryBag_Black,			*,		35,		8
		DryBag_Green,			*,		40,		10
		TaloonBag_Orange,		*,		50,		10
		TaloonBag_Violet,		*,		50,		10
		TaloonBag_Blue,			*,		50,		10
		TaloonBag_Green,		*,		70,		20
		SmershBag,				*,		100,	30
		WaterproofBag_Yellow,	*,		100,	30
		WaterproofBag_Orange,	*,		100,	30
		WaterproofBag_Green,	*,		110,	30
		AssaultBag_Black,		*,		110,	30
		AssaultBag_Green,		*,		110,	30
		AssaultBag_Ttsko,		*,		130,	30
		HuntingBag,				*,		130,	30
		TortillaBag,			*,		180,	60
		CoyoteBag_Brown,		*,		180,	60
		CoyoteBag_Green,		*,		180,	60
		MountainBag_Orange,		*,		300,	80
		MountainBag_Red,		*,		300,	80
		MountainBag_Blue,		*,		300,	80
		MountainBag_Green,		*,		360,	100
		AliceBag_Black,			*,		400,	150
		AliceBag_Green,			*,		400,	150
		AliceBag_Camo,			*,		500,	220

	<Category> Unknown Ghillies
		GhillieSuit_Black, 			*, 4500, 1500
		GhillieTop_Black, 			*, 4500, 1500
		GhillieBushrag_Black, 		*, 4500, 1500
		GhillieHood_Black, 			*, 4500, 1500
		GhillieAtt_Black, 			*, 4500, 1500
		GhillieSuit_White, 			*, 4500, 1500
		GhillieTop_White, 			*, 4500, 1500
		GhillieBushrag_White, 		*, 4500, 1500
		GhillieHood_White, 			*, 4500, 1500
		GhillieAtt_White, 			*, 4500, 1500
		GhillieSuit_Brown, 			*, 4500, 1500
		GhillieTop_Brown, 			*, 4500, 1500
		GhillieBushrag_Brown, 		*, 4500, 1500
		GhillieHood_Brown, 			*, 4500, 1500
		GhillieAtt_Brown, 			*, 4500, 1500
		//INK_CamoNetPoncho, 			*, 4500, 1500
		//Black_CamoNetPoncho, 		*, 4500, 1500
		//White_CamoNetPoncho, 		*, 4500, 1500
		//Brown_CamoNetPoncho, 		*, 4500, 1500

